ACTEURS,OBJETS,LIEUX,ACTIONS,provenance
,,Taxodiaceae,,mots_francais
,,directeur_général,,mots_francais
,,noyer_du_queensland,,mots_francais
,,lorenz,,mots_francais
,,Jardins_suspendus_de_Babylone,,mots_francais
,,myriapoda,,mots_francais
,,tulle,,mots_francais
,,penne,,mots_francais
,,submandibulaire,,mots_francais
,,bruxomanie,,mots_francais
,,Lupus,,mots_francais
,,anthrisque,,mots_francais
,,Amérique,,mots_francais
,,Ichneumonidae,,mots_francais
,,Embérizinés,,mots_francais
,,Kilimandjaro,,mots_francais
,,myrtillocactus_geometrizans,,mots_francais
,,Ousamequin,,mots_francais
,,genièvre,,mots_francais
,,bain_de_sang,,mots_francais
,,O,,mots_francais
,,graticiel,,mots_francais
,,manuscrits_de_qumrân,,mots_francais
,,actinistiens,,mots_francais
,,Georges_Bizet,,mots_francais
,,Bouddhisme_theravāda,,mots_francais
,,Jeanne_Grey,,mots_francais
,,ammotragus_lervia,,mots_francais
,,varna,,mots_francais
,,source,,mots_francais
,,Azoture,,mots_francais
,,Clovis_Ier,,mots_francais
,,Ardenne,,mots_francais
,,canard_de_barbarie,,mots_francais
,,Honshu,,mots_francais
,,Canadien,,mots_francais
,,Araliaceae,,mots_francais
,,Arménien,,mots_francais
,,Hiroshima,,mots_francais
,,Brobdingnag,,mots_francais
,,Brno,,mots_francais
,,rosmarinus_officinalis,,mots_francais
,,Franc_suisse,,mots_francais
,,cérat_de_galien,,mots_francais
,,maltraitance_sur_mineur,,mots_francais
,,ploceus,,mots_francais
,,chine,,mots_francais
,,filou,,mots_francais
,,Psilophyta,,mots_francais
,,Praia,,mots_francais
,,Devî,,mots_francais
,,prunella,,mots_francais
,,réanimation_cardio-,,mots_francais
,,Oklahoma_City,,mots_francais
,,se_mésallier,,mots_francais
,,Alice_Babette_Toklas,,mots_francais
,,Aleyrodoidea,,mots_francais
,,Elie_Wiesel,,mots_francais
,,strickland,,mots_francais
,,gorfou,,mots_francais
,,Maison_de_Hanovre,,mots_francais
,,Rockabilly,,mots_francais
,,prospectrice,,mots_francais
,,au_lieu_de,,mots_francais
,,Dianthaceae,,mots_francais
,,scaphopoda,,mots_francais
,,salsifis_noir,,mots_francais
,,Djaména,,mots_francais
,,Système_dynamique,,mots_francais
,,king_charles_spaniel,,mots_francais
,,damans,,mots_francais
,,Kandahar,,mots_francais
,,Région_de_la_Vénétie,,mots_francais
,,Adana,,mots_francais
,,Mer_de_Corail,,mots_francais
,,Bâmiyân,,mots_francais
,,Bangkok,,mots_francais
,,Barcelone,,mots_francais
,,Pâturin,,mots_francais
,,Armée_de_métier,,mots_francais
,,Sirius,,mots_francais
,,centranthe,,mots_francais
,,formule_moléculaire,,mots_francais
,,crétois,,mots_francais
,,mycologiste,,mots_francais
,,mitochondries,,mots_francais
,,golgotha,,mots_francais
,,Aleksandr_Zavarov,,mots_francais
,,Chickasaw,,mots_francais
,,Équatorien,,mots_francais
,,Taccaceae,,mots_francais
,,seconde_intercalaire,,mots_francais
,,serveur_de_fichiers,,mots_francais
,,George_Wells_Beadle,,mots_francais
,,dingo,,mots_francais
,,megaloptera,,mots_francais
,,Éphèse,,mots_francais
,,multiplet,,mots_francais
,,Monogramme,,mots_francais
,,Basseterre,,mots_francais
,,Gujarat,,mots_francais
,,Franc,,mots_francais
,,Londonais,,mots_francais
,,beguel,,mots_francais
,,Jardin_français,,mots_francais
,,bidens,,mots_francais
,,Caeciliidae,,mots_francais
,,myopus,,mots_francais
,,attier,,mots_francais
,,bolivie,,mots_francais
,,Languedoc,,mots_francais
,,casbah,,mots_francais
,,Pierre_Teilhard_de_Chardin,,mots_francais
,,salaire_minimum,,mots_francais
,,Military_Assistance_Command,,mots_francais
,,Suse,,mots_francais
,,coryanthes,,mots_francais
,,ormosia,,mots_francais
,,Agathis_dammara,,mots_francais
,,molletière,,mots_francais
,,Kharkov,,mots_francais
,,oreille-de-souris,,mots_francais
,,analphabétisme,,mots_francais
,,baryon_lambda,,mots_francais
,,mont_Saint_Helens,,mots_francais
,,pin_parasol_du_japon,,mots_francais
,,Bloomsbury_Group,,mots_francais
,,Frédéric_Masson,,mots_francais
,,Anagallis,,mots_francais
,,Odessa,,mots_francais
,,Jalalabad,,mots_francais
,,mouche_domestique,,mots_francais
,,yoghourt,,mots_francais
,,cassiope,,mots_francais
,,ephedra_sinica,,mots_francais
,,clause_compromissoire,,mots_francais
,,seine,,mots_francais
,,bruchus,,mots_francais
,,Garde_nationale,,mots_francais
,,Grenat,,mots_francais
,,Nethus,,mots_francais
,,Karachi,,mots_francais
,,chine_continentale,,mots_francais
,,Topinambour,,mots_francais
,,turdus,,mots_francais
,,cecropia,,mots_francais
,,Sangay,,mots_francais
,,averrhoa,,mots_francais
,,Aphyllanthacées,,mots_francais
,,correct,,mots_francais
,,Lynchburg,,mots_francais
,,Merrimack,,mots_francais
,,INS,,mots_francais
,,rana_catesbeiana,,mots_francais
,,William_Wilkie_Collins,,mots_francais
,,William_Makepeace_Thackeray,,mots_francais
,,chylomicron,,mots_francais
,,ardoise,,mots_francais
,,arbre_de_beaupré,,mots_francais
,,Gambooge,,mots_francais
,,Utrecht,,mots_francais
,,endermique,,mots_francais
,,Wallace_Stevens,,mots_francais
,,Djeddah,,mots_francais
,,biracial,,mots_francais
,,Tour_de_Babel,,mots_francais
,,anthocerotales,,mots_francais
,,leuctres,,mots_francais
,,Saint-Christophe,,mots_francais
,,bed_and_breakfast,,mots_francais
,,monomorium,,mots_francais
,,chaudronnier_de_cuivre,,mots_francais
,,Rodney_George_'Rod'_Laver,,mots_francais
,,vicissitude,,mots_francais
,,Charles_VII,,mots_francais
,,La_Barbe_bleue,,mots_francais
,,Chinoise,,mots_francais
,,vipérines,,mots_francais
,,Prémolaire,,mots_francais
,,gibbs,,mots_francais
,,amérique,,mots_francais
,,Aspects_toxicologiques_du_mercure,,mots_francais
,,Pali,,mots_francais
,,Medellín,,mots_francais
,,Carouge_à_épaulettes,,mots_francais
,,Minnie'_Mouse,,mots_francais
,,Additif_alimentaire,,mots_francais
,,Nanjing,,mots_francais
,,cornus_amomum,,mots_francais
,,Sustentation_électromagnétique,,mots_francais
,,Nantua,,mots_francais
,,Tampa,,mots_francais
,,Poaceae,,mots_francais
,,lilium_michiganense,,mots_francais
,,laryngé,,mots_francais
,,Platine_à_mèche,,mots_francais
,,résultat_net,,mots_francais
,,Saskatoon,,mots_francais
,,scrotum,,mots_francais
,,psychokinèse,,mots_francais
,,Believe,,mots_francais
,,bagatelle,,mots_francais
,,Salamandridae,,mots_francais
,,périapse,,mots_francais
,,Aesculus,,mots_francais
,,Plan_incliné,,mots_francais
,,Aedes_aegypti,,mots_francais
,,Occident,,mots_francais
,,chat_du_désert,,mots_francais
,,Robert_Adam,,mots_francais
,,botrychium,,mots_francais
,,Chaîne_de_Markov,,mots_francais
,,ipomoea,,mots_francais
,,Balance,,mots_francais
,,Henry_Clay,,mots_francais
,,ligne_coaxiale,,mots_francais
,,apnée_du_sommeil,,mots_francais
,,Long_Beach,,mots_francais
,,minoen,,mots_francais
,,carbonique,,mots_francais
,,shetland,,mots_francais
,,japper,,mots_francais
,,megaderma,,mots_francais
,,mastigophora,,mots_francais
,,îles_Vierges,,mots_francais
,,trematoda,,mots_francais
,,Pteromyinae,,mots_francais
,,actaea,,mots_francais
,,Sfax,,mots_francais
,,oranger_des_osages,,mots_francais
,,Lilongwe,,mots_francais
,,campana,,mots_francais
,,calaos,,mots_francais
,,phascolarctos,,mots_francais
,,Lombardie,,mots_francais
,,Angevin,,mots_francais
,,morne,,mots_francais
,,Xanthorrhoéacées,,mots_francais
,,Arthur_Asher_Miller,,mots_francais
,,Budapest,,mots_francais
,,Liban,,mots_francais
,,brass_band,,mots_francais
,,Cottidae,,mots_francais
,,zoanthropie,,mots_francais
,,mytilus,,mots_francais
,,allopatrie,,mots_francais
,,pademelon,,mots_francais
,,Darling,,mots_francais
,,acacia_catechu,,mots_francais
,,Guatemala,,mots_francais
,,stephenson,,mots_francais
,,Thaïlande,,mots_francais
,,Kentucky,,mots_francais
,,ulster,,mots_francais
,,grèbe_jougris,,mots_francais
,,ramariaceae,,mots_francais
,,Colombie,,mots_francais
,,bilharzie,,mots_francais
,,OH,,mots_francais
,,flirter,,mots_francais
,,Sandro_Botticelli,,mots_francais
,,logique_de_la_connaissance_commune,,mots_francais
,,Libanais,,mots_francais
,,adonis_annuelle,,mots_francais
,,cristal_de_roche,,mots_francais
,,Nothofagus,,mots_francais
,,Volga,,mots_francais
,,asclepiadaceae,,mots_francais
,,campanula_pyramidalis,,mots_francais
,,Fracture_de_fatigue,,mots_francais
,,Latran,,mots_francais
,,patriote,,mots_francais
,,agent_publicitaire,,mots_francais
,,illutation,,mots_francais
,,agriculture_de_subsistance,,mots_francais
,,Sphingidae,,mots_francais
,,David_Hilbert,,mots_francais
,,Baltique,,mots_francais
,,tropaeolaceae,,mots_francais
,,microcristallin,,mots_francais
,,Diapensiaceae,,mots_francais
,,Genévrier_d',,mots_francais
,,Trygve_Halvdan_Lie,,mots_francais
,,Karl_Heinrich_Marx,,mots_francais
,,sage_grouse,,mots_francais
,,Isopyrum,,mots_francais
,,Pseudolarix,,mots_francais
,,curvilinéaire,,mots_francais
,,Achillée_millefeuille,,mots_francais
,,sémanticien,,mots_francais
,,Malaisie,,mots_francais
,,biélorusse,,mots_francais
,,Irak,,mots_francais
,,eutheria,,mots_francais
,,Navire_école,,mots_francais
,,Croix_du_Sud,,mots_francais
,,ratafia,,mots_francais
,,chilien,,mots_francais
,,Ammodytidae,,mots_francais
,,Willard_Van_Orman_Quine,,mots_francais
,,halobacteria,,mots_francais
,,Liberty_ship,,mots_francais
,,acide_stéarique,,mots_francais
,,Micropogonias,,mots_francais
,,Magnoliacées,,mots_francais
,,myadestes,,mots_francais
,,mnium,,mots_francais
,,hypsiglena,,mots_francais
,,Âgrâ,,mots_francais
,,Edmund_Spenser,,mots_francais
,,cicadellidae,,mots_francais
,,baffle,,mots_francais
,,aldéhyde_acétique,,mots_francais
,,Novgorod,,mots_francais
,,jeune_fille,,mots_francais
,,leucothoe,,mots_francais
,,olive,,mots_francais
,,brachiopoda,,mots_francais
,,thermoïonique,,mots_francais
,,Woodrow_Wilson,,mots_francais
,,Vincetoxicum,,mots_francais
,,Sao_Tomé,,mots_francais
,,cholédoque,,mots_francais
,,Delhi,,mots_francais
,,Fernando_Sucre,,mots_francais
,,périssodactyle,,mots_francais
,,hélianthine,,mots_francais
,,Archimandrite,,mots_francais
,,Tartu,,mots_francais
,,Immaculée_Conception,,mots_francais
,,dimétrodon,,mots_francais
,,noirâtre,,mots_francais
,,fata_morgana,,mots_francais
,,années_1830,,mots_francais
,,Lublin,,mots_francais
,,échec_et_mat,,mots_francais
,,Lycopodiaceae,,mots_francais
,,Parc_national_des_Channel_Islands,,mots_francais
,,hydrocharitaceae,,mots_francais
,,triaenodon,,mots_francais
,,Népal,,mots_francais
,,Boston_Tea_Party,,mots_francais
,,porphyra,,mots_francais
